goos: linux
goarch: amd64
pkg: github.com/mtgo-labs/mtgo/internal/crypto
cpu: AMD Ryzen 5 7600X 6-Core Processor             
BenchmarkCryptoPack-12          	  990900	      1116 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1104 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1111 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1128 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1114 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1104 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1109 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1116 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1107 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPack-12          	 1000000	      1107 ns/op	     901 B/op	       7 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1021 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1018 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1019 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1012 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1017 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1013 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1007 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1022 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1026 ns/op	     788 B/op	       5 allocs/op
BenchmarkCryptoPackRaw-12       	 1000000	      1022 ns/op	     788 B/op	       5 allocs/op
BenchmarkKDF-12                 	 8077455	       146.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 9352113	       127.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 9594015	       127.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 9592842	       125.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 7967937	       148.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 9569655	       127.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 9578420	       125.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 9367170	       127.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 8119455	       148.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkKDF-12                 	 9327306	       127.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIGEEncrypt-12          	 1432909	       834.9 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1451895	       824.2 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1451084	       828.3 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1453008	       855.5 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1350802	       871.4 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1000000	      1018 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1428811	       834.9 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1472196	       819.2 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1439560	       832.2 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEEncrypt-12          	 1445138	       836.4 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1398144	       852.2 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1430426	       836.5 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1455182	       825.0 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1418079	       840.2 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1438506	       829.8 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1429628	       836.0 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1466042	       822.0 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1439067	       836.7 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1436074	       831.3 ns/op	    4666 B/op	       5 allocs/op
BenchmarkIGEDecrypt-12          	 1443032	       832.3 ns/op	    4666 B/op	       5 allocs/op
BenchmarkSecretEncrypt-12       	  450632	      2597 ns/op	    2687 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  467822	      2623 ns/op	    2686 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  452270	      2610 ns/op	    2690 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  442552	      2603 ns/op	    2687 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  479113	      2610 ns/op	    2686 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  473782	      2621 ns/op	    2689 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  454096	      2629 ns/op	    2690 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  454897	      2609 ns/op	    2687 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  460664	      2618 ns/op	    2689 B/op	      12 allocs/op
BenchmarkSecretEncrypt-12       	  465849	      2607 ns/op	    2686 B/op	      12 allocs/op
BenchmarkSecretDecrypt-12       	 1000000	      1207 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	 1476300	       813.9 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	  564510	      2206 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	  806616	      1517 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	 1614939	       741.0 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	  825207	      1382 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	 2051348	       584.9 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	  788335	      1531 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	 1000000	      1127 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretDecrypt-12       	  510194	      2302 ns/op	     632 B/op	       5 allocs/op
BenchmarkSecretKDF-12           	 9657172	       123.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9357660	       125.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9627703	       123.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9475752	       124.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSecretKDF-12           	 9674250	       123.8 ns/op	       0 B/op	       0 allocs/op
